CLIENTNUM,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit
768805383,45,M,High School,Married,$60K - $80K,Blue,12691
818770008,49,F,Graduate,Single,Less than $40K,Blue,8256
713982108,51,M,Graduate,Married,$80K - $120K,Blue,3418
769911858,40,F,High School,Unknown,Less than $40K,Blue,3313
709106358,40,M,Uneducated,Married,$60K - $80K,Blue,4716
713061558,44,M,Graduate,Married,$40K - $60K,Blue,4010
810347208,51,M,Unknown,Married,$120K +,Gold,34516
818906208,32,M,High School,Unknown,$60K - $80K,Silver,29081
710930508,37,M,Uneducated,Single,$60K - $80K,Blue,22352
719661558,48,M,Graduate,Single,$80K - $120K,Blue,11656
708790833,42,M,Uneducated,Unknown,$120K +,Blue,6748
710821833,65,M,Unknown,Married,$40K - $60K,Blue,9095
710599683,56,M,College,Single,$80K - $120K,Blue,11751
816082233,35,M,Graduate,Unknown,$60K - $80K,Blue,8547
712396908,57,F,Graduate,Married,Less than $40K,Blue,2436
714885258,44,M,Unknown,Unknown,$80K - $120K,Blue,4234
709967358,48,M,Post-Graduate,Single,$80K - $120K,Blue,30367
753327333,41,M,Unknown,Married,$80K - $120K,Blue,13535
806160108,61,M,High School,Married,$40K - $60K,Blue,3193
709327383,45,F,Graduate,Married,Unknown,Blue,14470
806165208,47,M,Doctorate,Divorced,$60K - $80K,Blue,20979
708508758,62,F,Graduate,Married,Less than $40K,Blue,1438.3
784725333,41,M,High School,Married,$40K - $60K,Blue,4470
811604133,47,F,Unknown,Single,Less than $40K,Blue,2492
789124683,54,M,Unknown,Married,$80K - $120K,Blue,12217
771071958,41,F,Graduate,Single,Less than $40K,Blue,7768
720466383,59,M,High School,Unknown,$40K - $60K,Blue,14784
804424383,63,M,Unknown,Married,$60K - $80K,Blue,10215
718813833,44,F,Uneducated,Single,Unknown,Blue,10100
806624208,47,M,High School,Married,$40K - $60K,Blue,4785
778348233,53,M,Unknown,Married,$80K - $120K,Blue,2753
712991808,53,M,Uneducated,Married,$60K - $80K,Blue,2451
709029408,41,M,Graduate,Married,$60K - $80K,Blue,8923
788658483,53,F,College,Married,Less than $40K,Blue,2650
787937058,58,M,Graduate,Married,$80K - $120K,Blue,12555
715318008,55,F,College,Single,Less than $40K,Blue,3520
713962233,55,F,Graduate,Married,Less than $40K,Blue,3035
785432733,42,F,High School,Married,Less than $40K,Gold,15433
715190283,57,F,Graduate,Unknown,$40K - $60K,Blue,3672
708300483,66,F,Doctorate,Married,Unknown,Blue,7882
827111283,45,M,Graduate,Single,$80K - $120K,Blue,32426
758551608,51,M,Unknown,Married,$40K - $60K,Blue,6205
773146383,50,F,College,Single,$40K - $60K,Silver,17304
778493808,49,M,High School,Married,$60K - $80K,Blue,3906
720572508,38,F,Graduate,Single,Unknown,Blue,9830
712661433,49,M,Uneducated,Single,$80K - $120K,Blue,34516
789172683,56,M,Doctorate,Married,$60K - $80K,Blue,2283
738406533,59,M,Doctorate,Married,$40K - $60K,Blue,2548
799723908,46,M,High School,Married,$80K - $120K,Blue,19458
771490833,52,M,College,Single,$80K - $120K,Blue,4745
720756708,52,F,Unknown,Married,Less than $40K,Blue,2622
779471883,54,F,Graduate,Married,Less than $40K,Blue,1438.3
711525033,66,F,High School,Married,Less than $40K,Blue,3171
712813458,49,M,Unknown,Married,$120K +,Blue,19763
714374133,56,M,Graduate,Married,$120K +,Blue,15769
717891558,49,F,Graduate,Unknown,Less than $40K,Blue,3298
716632758,49,F,Graduate,Single,Less than $40K,Blue,2802
768563658,56,M,Uneducated,Married,$40K - $60K,Blue,4458
711427458,44,F,Graduate,Married,Unknown,Blue,6273
714091983,42,M,High School,Single,$60K - $80K,Blue,3336
787584108,55,M,Unknown,Married,$80K - $120K,Blue,3436
712030833,48,M,Graduate,Married,$60K - $80K,Silver,34516
711481533,39,M,High School,Divorced,$60K - $80K,Blue,5926
710082708,44,M,Post-Graduate,Single,$120K +,Blue,23957
708155733,53,M,High School,Single,$120K +,Blue,14734
788979258,51,M,Uneducated,Single,$80K - $120K,Silver,34516
807986133,57,M,College,Married,$60K - $80K,Blue,6584
788730933,44,F,Uneducated,Single,Less than $40K,Blue,2084
711314058,49,M,Graduate,Married,$60K - $80K,Blue,1687
717975333,50,M,Doctorate,Married,$80K - $120K,Blue,25300
715971108,51,M,Graduate,Single,$120K +,Blue,34516
720096558,55,F,Graduate,Married,Less than $40K,Blue,2216
719580033,54,M,Graduate,Unknown,$60K - $80K,Blue,2910
820582308,42,M,Uneducated,Married,$80K - $120K,Blue,22913
789973308,44,M,College,Single,$60K - $80K,Blue,24312
712876233,53,M,Graduate,Single,$80K - $120K,Blue,5272
804595158,44,F,Graduate,Single,Less than $40K,Blue,7000
714826758,37,F,Uneducated,Single,Less than $40K,Blue,7038
779058108,49,M,Graduate,Divorced,$60K - $80K,Blue,2536
710790258,47,M,Graduate,Married,$80K - $120K,Blue,28904
715623483,47,M,Graduate,Married,$60K - $80K,Blue,8567
715156383,44,M,Unknown,Unknown,$120K +,Blue,34516
711013983,55,F,Unknown,Married,$40K - $60K,Blue,2158
755420433,59,F,Graduate,Married,Unknown,Blue,10133
794543958,53,M,Graduate,Divorced,$80K - $120K,Blue,34516
716396358,52,M,Graduate,Married,$60K - $80K,Blue,3085
715398033,53,M,High School,Single,$120K +,Blue,19040
711743883,43,F,Uneducated,Single,Less than $40K,Blue,4026
719720058,44,M,High School,Single,$60K - $80K,Blue,12756
778992108,57,M,Unknown,Married,$120K +,Blue,5266
717539808,51,F,High School,Single,Less than $40K,Blue,9930
714070758,49,M,High School,Single,$80K - $120K,Blue,31302
714107958,45,M,Graduate,Single,$40K - $60K,Blue,6576
