ID,Fur Thickness,Fur Loss Rate,Characteristic,Size,Nose Type,Breed
1,S,M,P,B,P,Hymalayan
2,M,S,A,K,P,Hymalayan
3,L,R,P,B,M,Anggora
4,S,T,A,S,P,Persian
5,S,T,P,K,P,Persian
6,L,R,P,S,M,Anggora
7,L,S,A,B,M,Anggora
8,S,T,P,K,P,Hymalayan
9,L,S,A,B,M,Anggora
10,S,R,A,K,P,Persian
11,L,R,A,S,M,Anggora
12,L,R,P,K,M,Anggora
13,M,S,A,B,P,Persian
14,L,R,P,B,M,Anggora
15,M,T,P,K,P,Hymalayan
16,S,R,P,K,P,Persian
17,L,T,A,B,M,Anggora
18,M,S,A,B,P,Persian
19,M,S,P,B,P,Hymalayan
20,L,R,A,K,M,Anggora
21,M,T,A,B,P,Hymalayan
22,L,T,P,S,M,Anggora
23,M,T,A,B,P,Hymalayan
24,S,R,P,K,P,Persian
25,M,R,P,K,P,Persian
26,M,S,P,B,P,Hymalayan
27,S,S,P,B,P,Hymalayan
28,L,T,P,B,M,Anggora
29,S,S,A,S,P,Persian
30,S,S,A,B,P,Persian
31,S,S,P,S,P,Persian
32,M,T,A,S,P,Persian
33,M,S,A,S,P,Hymalayan
34,L,R,P,K,M,Anggora
35,M,S,A,S,P,Persian
36,L,T,P,B,M,Anggora
37,L,R,P,S,M,Anggora
38,L,T,A,B,M,Anggora
39,L,T,A,B,M,Anggora
40,S,T,P,K,P,Persian
41,L,T,A,S,M,Anggora
42,M,S,A,K,P,Persian
43,M,R,P,B,P,Hymalayan
44,S,R,A,S,P,Persian
45,S,S,A,S,P,Hymalayan
46,L,R,A,K,M,Anggora
47,L,T,P,B,M,Anggora
48,S,R,P,B,P,Hymalayan
49,M,T,P,K,P,Persian
50,L,R,A,K,M,Anggora
51,S,T,P,B,P,Hymalayan
52,L,S,A,S,M,Anggora
53,S,S,A,K,P,Hymalayan
54,S,T,A,K,P,Persian
55,L,R,P,K,M,Anggora
56,M,T,A,K,P,Hymalayan
57,M,T,A,B,P,Hymalayan
58,S,T,P,B,P,Hymalayan
59,M,T,A,K,P,Hymalayan
60,S,R,P,B,P,Hymalayan
61,L,T,A,K,M,Anggora
62,M,R,A,K,P,Persian
63,L,S,P,S,M,Anggora
64,M,S,A,B,P,Hymalayan
65,L,S,A,K,M,Anggora
66,S,S,A,S,P,Hymalayan
67,M,T,P,K,P,Persian
68,L,R,P,S,M,Anggora
69,S,R,A,B,P,Hymalayan
70,M,R,A,B,P,Persian
71,M,S,P,K,P,Persian
72,S,R,P,S,P,Persian
73,L,R,P,S,M,Anggora
